tx_id,ops_count,latency_ms,fee_xlm
stellar_native_0,1,120,1e-05
stellar_native_1,1,120,1e-05
stellar_native_2,1,120,1e-05
stellar_native_3,1,120,1e-05
stellar_native_4,1,120,1e-05
stellar_native_5,1,120,1e-05
stellar_native_6,1,120,1e-05
stellar_native_7,1,120,1e-05
stellar_native_8,1,120,1e-05
stellar_native_9,1,120,1e-05
stellar_native_10,1,120,1e-05
stellar_native_11,1,120,1e-05
stellar_native_12,1,120,1e-05
stellar_native_13,1,120,1e-05
stellar_native_14,1,120,1e-05
stellar_native_15,1,120,1e-05
stellar_native_16,1,120,1e-05
stellar_native_17,1,120,1e-05
stellar_native_18,1,120,1e-05
stellar_native_19,1,120,1e-05
stellar_native_20,1,120,1e-05
stellar_native_21,1,120,1e-05
stellar_native_22,1,120,1e-05
stellar_native_23,1,120,1e-05
stellar_native_24,1,120,1e-05
stellar_native_25,1,120,1e-05
stellar_native_26,1,120,1e-05
stellar_native_27,1,120,1e-05
stellar_native_28,1,120,1e-05
stellar_native_29,1,120,1e-05
stellar_native_30,1,120,1e-05
stellar_native_31,1,120,1e-05
stellar_native_32,1,120,1e-05
stellar_native_33,1,120,1e-05
stellar_native_34,1,120,1e-05
stellar_native_35,1,120,1e-05
stellar_native_36,1,120,1e-05
stellar_native_37,1,120,1e-05
stellar_native_38,1,120,1e-05
stellar_native_39,1,120,1e-05
stellar_native_40,1,120,1e-05
stellar_native_41,1,120,1e-05
stellar_native_42,1,120,1e-05
stellar_native_43,1,120,1e-05
stellar_native_44,1,120,1e-05
stellar_native_45,1,120,1e-05
stellar_native_46,1,120,1e-05
stellar_native_47,1,120,1e-05
stellar_native_48,1,120,1e-05
stellar_native_49,1,120,1e-05
stellar_native_50,1,120,1e-05
stellar_native_51,1,120,1e-05
stellar_native_52,1,120,1e-05
stellar_native_53,1,120,1e-05
stellar_native_54,1,120,1e-05
stellar_native_55,1,120,1e-05
stellar_native_56,1,120,1e-05
stellar_native_57,1,120,1e-05
stellar_native_58,1,120,1e-05
stellar_native_59,1,120,1e-05
stellar_native_60,1,120,1e-05
stellar_native_61,1,120,1e-05
stellar_native_62,1,120,1e-05
stellar_native_63,1,120,1e-05
stellar_native_64,1,120,1e-05
stellar_native_65,1,120,1e-05
stellar_native_66,1,120,1e-05
stellar_native_67,1,120,1e-05
stellar_native_68,1,120,1e-05
stellar_native_69,1,120,1e-05
stellar_native_70,1,120,1e-05
stellar_native_71,1,120,1e-05
stellar_native_72,1,120,1e-05
stellar_native_73,1,120,1e-05
stellar_native_74,1,120,1e-05
stellar_native_75,1,120,1e-05
stellar_native_76,1,120,1e-05
stellar_native_77,1,120,1e-05
stellar_native_78,1,120,1e-05
stellar_native_79,1,120,1e-05
stellar_native_80,1,120,1e-05
stellar_native_81,1,120,1e-05
stellar_native_82,1,120,1e-05
stellar_native_83,1,120,1e-05
stellar_native_84,1,120,1e-05
stellar_native_85,1,120,1e-05
stellar_native_86,1,120,1e-05
stellar_native_87,1,120,1e-05
stellar_native_88,1,120,1e-05
stellar_native_89,1,120,1e-05
stellar_native_90,1,120,1e-05
stellar_native_91,1,120,1e-05
stellar_native_92,1,120,1e-05
stellar_native_93,1,120,1e-05
stellar_native_94,1,120,1e-05
stellar_native_95,1,120,1e-05
stellar_native_96,1,120,1e-05
stellar_native_97,1,120,1e-05
stellar_native_98,1,120,1e-05
stellar_native_99,1,120,1e-05
stellar_native_100,1,120,1e-05
stellar_native_101,1,120,1e-05
stellar_native_102,1,120,1e-05
stellar_native_103,1,120,1e-05
stellar_native_104,1,120,1e-05
stellar_native_105,1,120,1e-05
stellar_native_106,1,120,1e-05
stellar_native_107,1,120,1e-05
stellar_native_108,1,120,1e-05
stellar_native_109,1,120,1e-05
stellar_native_110,1,120,1e-05
stellar_native_111,1,120,1e-05
stellar_native_112,1,120,1e-05
stellar_native_113,1,120,1e-05
stellar_native_114,1,120,1e-05
stellar_native_115,1,120,1e-05
stellar_native_116,1,120,1e-05
stellar_native_117,1,120,1e-05
stellar_native_118,1,120,1e-05
stellar_native_119,1,120,1e-05
stellar_native_120,1,120,1e-05
stellar_native_121,1,120,1e-05
stellar_native_122,1,120,1e-05
stellar_native_123,1,120,1e-05
stellar_native_124,1,120,1e-05
stellar_native_125,1,120,1e-05
stellar_native_126,1,120,1e-05
stellar_native_127,1,120,1e-05
stellar_native_128,1,120,1e-05
stellar_native_129,1,120,1e-05
stellar_native_130,1,120,1e-05
stellar_native_131,1,120,1e-05
stellar_native_132,1,120,1e-05
stellar_native_133,1,120,1e-05
stellar_native_134,1,120,1e-05
stellar_native_135,1,120,1e-05
stellar_native_136,1,120,1e-05
stellar_native_137,1,120,1e-05
stellar_native_138,1,120,1e-05
stellar_native_139,1,120,1e-05
stellar_native_140,1,120,1e-05
stellar_native_141,1,120,1e-05
stellar_native_142,1,120,1e-05
stellar_native_143,1,120,1e-05
stellar_native_144,1,120,1e-05
stellar_native_145,1,120,1e-05
stellar_native_146,1,120,1e-05
stellar_native_147,1,120,1e-05
stellar_native_148,1,120,1e-05
stellar_native_149,1,120,1e-05
stellar_native_150,1,120,1e-05
stellar_native_151,1,120,1e-05
stellar_native_152,1,120,1e-05
stellar_native_153,1,120,1e-05
stellar_native_154,1,120,1e-05
stellar_native_155,1,120,1e-05
stellar_native_156,1,120,1e-05
stellar_native_157,1,120,1e-05
stellar_native_158,1,120,1e-05
stellar_native_159,1,120,1e-05
stellar_native_160,1,120,1e-05
stellar_native_161,1,120,1e-05
stellar_native_162,1,120,1e-05
stellar_native_163,1,120,1e-05
stellar_native_164,1,120,1e-05
stellar_native_165,1,120,1e-05
stellar_native_166,1,120,1e-05
