tx_id,route_used,latency_ms,fee_xlm,compliance_passed
stratx_0,XLM,75,8e-05,True
stratx_1,USDC,75,8.2e-05,True
stratx_2,EURC,75,8.4e-05,True
stratx_3,XLM,75,8.6e-05,True
stratx_4,USDC,75,8.8e-05,True
stratx_5,EURC,75,9e-05,True
stratx_6,XLM,75,9.2e-05,True
stratx_7,USDC,75,9.4e-05,True
stratx_8,EURC,75,9.6e-05,True
stratx_9,XLM,75,9.8e-05,True
stratx_10,USDC,75,8e-05,True
stratx_11,EURC,75,8.2e-05,True
stratx_12,XLM,75,8.4e-05,True
stratx_13,USDC,75,8.6e-05,True
stratx_14,EURC,75,8.8e-05,True
stratx_15,XLM,75,9e-05,True
stratx_16,USDC,75,9.2e-05,True
stratx_17,EURC,75,9.4e-05,True
stratx_18,XLM,75,9.6e-05,True
stratx_19,USDC,75,9.8e-05,True
stratx_20,EURC,75,8e-05,True
stratx_21,XLM,75,8.2e-05,True
stratx_22,USDC,75,8.4e-05,True
stratx_23,EURC,75,8.6e-05,True
stratx_24,XLM,75,8.8e-05,True
stratx_25,USDC,75,9e-05,True
stratx_26,EURC,75,9.2e-05,True
stratx_27,XLM,75,9.4e-05,True
stratx_28,USDC,75,9.6e-05,True
stratx_29,EURC,75,9.8e-05,True
stratx_30,XLM,75,8e-05,True
stratx_31,USDC,75,8.2e-05,True
stratx_32,EURC,75,8.4e-05,True
stratx_33,XLM,75,8.6e-05,True
stratx_34,USDC,75,8.8e-05,True
stratx_35,EURC,75,9e-05,True
stratx_36,XLM,75,9.2e-05,True
stratx_37,USDC,75,9.4e-05,True
stratx_38,EURC,75,9.6e-05,True
stratx_39,XLM,75,9.8e-05,True
stratx_40,USDC,75,8e-05,True
stratx_41,EURC,75,8.2e-05,True
stratx_42,XLM,75,8.4e-05,True
stratx_43,USDC,75,8.6e-05,True
stratx_44,EURC,75,8.8e-05,True
stratx_45,XLM,75,9e-05,True
stratx_46,USDC,75,9.2e-05,True
stratx_47,EURC,75,9.4e-05,True
stratx_48,XLM,75,9.6e-05,True
stratx_49,USDC,75,9.8e-05,True
stratx_50,EURC,75,8e-05,True
stratx_51,XLM,75,8.2e-05,True
stratx_52,USDC,75,8.4e-05,True
stratx_53,EURC,75,8.6e-05,True
stratx_54,XLM,75,8.8e-05,True
stratx_55,USDC,75,9e-05,True
stratx_56,EURC,75,9.2e-05,True
stratx_57,XLM,75,9.4e-05,True
stratx_58,USDC,75,9.6e-05,True
stratx_59,EURC,75,9.8e-05,True
stratx_60,XLM,75,8e-05,True
stratx_61,USDC,75,8.2e-05,True
stratx_62,EURC,75,8.4e-05,True
stratx_63,XLM,75,8.6e-05,True
stratx_64,USDC,75,8.8e-05,True
stratx_65,EURC,75,9e-05,True
stratx_66,XLM,75,9.2e-05,True
stratx_67,USDC,75,9.4e-05,True
stratx_68,EURC,75,9.6e-05,True
stratx_69,XLM,75,9.8e-05,True
stratx_70,USDC,75,8e-05,True
stratx_71,EURC,75,8.2e-05,True
stratx_72,XLM,75,8.4e-05,True
stratx_73,USDC,75,8.6e-05,True
stratx_74,EURC,75,8.8e-05,True
stratx_75,XLM,75,9e-05,True
stratx_76,USDC,75,9.2e-05,True
stratx_77,EURC,75,9.4e-05,True
stratx_78,XLM,75,9.6e-05,True
stratx_79,USDC,75,9.8e-05,True
stratx_80,EURC,75,8e-05,True
stratx_81,XLM,75,8.2e-05,True
stratx_82,USDC,75,8.4e-05,True
stratx_83,EURC,75,8.6e-05,True
stratx_84,XLM,75,8.8e-05,True
stratx_85,USDC,75,9e-05,True
stratx_86,EURC,75,9.2e-05,True
stratx_87,XLM,75,9.4e-05,True
stratx_88,USDC,75,9.6e-05,True
stratx_89,EURC,75,9.8e-05,True
stratx_90,XLM,75,8e-05,True
stratx_91,USDC,75,8.2e-05,True
stratx_92,EURC,75,8.4e-05,True
stratx_93,XLM,75,8.6e-05,True
stratx_94,USDC,75,8.8e-05,True
stratx_95,EURC,75,9e-05,True
stratx_96,XLM,75,9.2e-05,True
stratx_97,USDC,75,9.4e-05,True
stratx_98,EURC,75,9.6e-05,True
stratx_99,XLM,75,9.8e-05,True
stratx_100,USDC,75,8e-05,True
stratx_101,EURC,75,8.2e-05,True
stratx_102,XLM,75,8.4e-05,True
stratx_103,USDC,75,8.6e-05,True
stratx_104,EURC,75,8.8e-05,True
stratx_105,XLM,75,9e-05,True
stratx_106,USDC,75,9.2e-05,True
stratx_107,EURC,75,9.4e-05,True
stratx_108,XLM,75,9.6e-05,True
stratx_109,USDC,75,9.8e-05,True
stratx_110,EURC,75,8e-05,True
stratx_111,XLM,75,8.2e-05,True
stratx_112,USDC,75,8.4e-05,True
stratx_113,EURC,75,8.6e-05,True
stratx_114,XLM,75,8.8e-05,True
stratx_115,USDC,75,9e-05,True
stratx_116,EURC,75,9.2e-05,True
stratx_117,XLM,75,9.4e-05,True
stratx_118,USDC,75,9.6e-05,True
stratx_119,EURC,75,9.8e-05,True
stratx_120,XLM,75,8e-05,True
stratx_121,USDC,75,8.2e-05,True
stratx_122,EURC,75,8.4e-05,True
stratx_123,XLM,75,8.6e-05,True
stratx_124,USDC,75,8.8e-05,True
stratx_125,EURC,75,9e-05,True
stratx_126,XLM,75,9.2e-05,True
stratx_127,USDC,75,9.4e-05,True
stratx_128,EURC,75,9.6e-05,True
stratx_129,XLM,75,9.8e-05,True
stratx_130,USDC,75,8e-05,True
stratx_131,EURC,75,8.2e-05,True
stratx_132,XLM,75,8.4e-05,True
