tx_id,ops_count,latency_ms,fee_xrp,routing,compliance
xrpl_tx_0,1,95,1.2e-05,XRP only,None
xrpl_tx_1,1,95,1.2e-05,XRP only,None
xrpl_tx_2,1,95,1.2e-05,XRP only,None
xrpl_tx_3,1,95,1.2e-05,XRP only,None
xrpl_tx_4,1,95,1.2e-05,XRP only,None
xrpl_tx_5,1,95,1.2e-05,XRP only,None
xrpl_tx_6,1,95,1.2e-05,XRP only,None
xrpl_tx_7,1,95,1.2e-05,XRP only,None
xrpl_tx_8,1,95,1.2e-05,XRP only,None
xrpl_tx_9,1,95,1.2e-05,XRP only,None
xrpl_tx_10,1,95,1.2e-05,XRP only,None
xrpl_tx_11,1,95,1.2e-05,XRP only,None
xrpl_tx_12,1,95,1.2e-05,XRP only,None
xrpl_tx_13,1,95,1.2e-05,XRP only,None
xrpl_tx_14,1,95,1.2e-05,XRP only,None
xrpl_tx_15,1,95,1.2e-05,XRP only,None
xrpl_tx_16,1,95,1.2e-05,XRP only,None
xrpl_tx_17,1,95,1.2e-05,XRP only,None
xrpl_tx_18,1,95,1.2e-05,XRP only,None
xrpl_tx_19,1,95,1.2e-05,XRP only,None
xrpl_tx_20,1,95,1.2e-05,XRP only,None
xrpl_tx_21,1,95,1.2e-05,XRP only,None
xrpl_tx_22,1,95,1.2e-05,XRP only,None
xrpl_tx_23,1,95,1.2e-05,XRP only,None
xrpl_tx_24,1,95,1.2e-05,XRP only,None
xrpl_tx_25,1,95,1.2e-05,XRP only,None
xrpl_tx_26,1,95,1.2e-05,XRP only,None
xrpl_tx_27,1,95,1.2e-05,XRP only,None
xrpl_tx_28,1,95,1.2e-05,XRP only,None
xrpl_tx_29,1,95,1.2e-05,XRP only,None
xrpl_tx_30,1,95,1.2e-05,XRP only,None
xrpl_tx_31,1,95,1.2e-05,XRP only,None
xrpl_tx_32,1,95,1.2e-05,XRP only,None
xrpl_tx_33,1,95,1.2e-05,XRP only,None
xrpl_tx_34,1,95,1.2e-05,XRP only,None
xrpl_tx_35,1,95,1.2e-05,XRP only,None
xrpl_tx_36,1,95,1.2e-05,XRP only,None
xrpl_tx_37,1,95,1.2e-05,XRP only,None
xrpl_tx_38,1,95,1.2e-05,XRP only,None
xrpl_tx_39,1,95,1.2e-05,XRP only,None
xrpl_tx_40,1,95,1.2e-05,XRP only,None
xrpl_tx_41,1,95,1.2e-05,XRP only,None
xrpl_tx_42,1,95,1.2e-05,XRP only,None
xrpl_tx_43,1,95,1.2e-05,XRP only,None
xrpl_tx_44,1,95,1.2e-05,XRP only,None
