tx_id,region,route_score,latency_ms,origin_country,dest_country,compliance_result,status
tx_26188,LATAM,0.24,167,BR,US,allowed,fallback
tx_509,EU,0.51,137,KP,FR,blocked,blocked
tx_30417,EU,0.4,125,US,MX,allowed,fallback
tx_31359,US,0.4,135,CN,SA,allowed,fallback
tx_10585,MENA,0.04,164,AE,US,allowed,fallback
tx_41621,EU,0.62,51,BR,MX,allowed,allowed
tx_795,LATAM,0.67,121,CU,SA,blocked,blocked
tx_38761,LATAM,0.55,122,AE,SA,allowed,allowed
tx_17891,US,0.4,135,CN,US,allowed,fallback
tx_34695,APAC,0.17,153,AE,SA,allowed,allowed
tx_16966,EU,0.09,135,US,MX,allowed,fallback
tx_11359,LATAM,0.4,135,US,FR,allowed,fallback
tx_48779,APAC,0.69,34,AE,MX,allowed,allowed
tx_22404,LATAM,0.4,135,US,US,allowed,fallback
tx_29693,US,0.4,172,AE,SA,allowed,fallback
tx_23253,US,0.4,135,AE,US,allowed,fallback
tx_4874,LATAM,0.03,135,BR,SA,allowed,fallback
tx_23184,APAC,0.33,135,US,SA,allowed,fallback
tx_3434,LATAM,0.22,132,BR,JP,allowed,fallback
tx_49163,US,0.13,64,DE,US,allowed,allowed
tx_27911,MENA,0.4,135,BR,MX,allowed,fallback
tx_17562,LATAM,0.4,135,AE,JP,allowed,fallback
tx_32594,US,0.4,135,AE,MX,allowed,fallback
tx_21754,APAC,0.25,135,DE,US,allowed,fallback
tx_4280,APAC,0.25,166,DE,FR,allowed,fallback
tx_34016,LATAM,0.38,135,DE,FR,allowed,fallback
tx_31565,APAC,0.06,135,AE,US,allowed,fallback
tx_7593,US,0.41,138,BR,SA,allowed,fallback
tx_35951,LATAM,0.32,168,DE,JP,allowed,allowed
tx_36545,MENA,0.5,81,CN,MX,allowed,allowed
tx_40696,LATAM,0.35,92,DE,JP,allowed,allowed
tx_20103,LATAM,0.34,143,CN,FR,allowed,fallback
tx_1230,US,0.57,108,SY,SA,blocked,blocked
tx_36827,EU,0.17,115,DE,FR,allowed,allowed
tx_5630,LATAM,0.4,135,DE,SA,allowed,fallback
tx_42204,APAC,0.24,133,US,MX,allowed,allowed
tx_19391,LATAM,0.4,135,AE,US,allowed,fallback
tx_18334,MENA,0.2,135,US,SA,allowed,fallback
tx_14879,MENA,0.4,178,US,US,allowed,fallback
tx_7938,EU,0.07,135,CN,FR,allowed,fallback
tx_44840,US,0.57,145,DE,SA,allowed,allowed
tx_40584,APAC,0.08,63,BR,MX,allowed,allowed
tx_26081,EU,0.09,135,US,MX,allowed,fallback
tx_31042,APAC,0.32,135,DE,US,allowed,fallback
tx_23132,LATAM,0.4,135,AE,US,allowed,fallback
tx_18473,APAC,0.4,135,US,FR,allowed,fallback
tx_1893,MENA,0.07,135,DE,SA,allowed,fallback
tx_16327,EU,0.4,159,AE,SA,allowed,fallback
tx_1961,EU,0.05,135,DE,JP,allowed,fallback
tx_38360,US,0.74,161,US,MX,allowed,allowed
tx_23587,LATAM,0.42,141,CN,JP,allowed,fallback
tx_40650,LATAM,0.29,159,CN,FR,allowed,allowed
tx_15054,APAC,0.4,135,US,MX,allowed,fallback
tx_43912,APAC,0.36,169,AE,SA,allowed,allowed
tx_13515,APAC,0.4,135,DE,SA,allowed,fallback
tx_22470,US,0.4,128,DE,MX,allowed,fallback
tx_28741,US,0.4,135,BR,FR,allowed,fallback
tx_30291,LATAM,0.31,160,US,JP,allowed,fallback
tx_31226,LATAM,0.31,135,CN,FR,allowed,fallback
tx_35394,LATAM,0.18,36,BR,US,allowed,allowed
tx_6223,EU,0.36,135,US,SA,allowed,fallback
tx_7759,EU,0.41,173,DE,FR,allowed,fallback
tx_48629,APAC,0.64,111,AE,FR,allowed,allowed
tx_30619,MENA,0.27,135,DE,US,allowed,fallback
tx_15888,EU,0.4,156,AE,US,allowed,fallback
tx_9375,APAC,0.4,135,US,MX,allowed,fallback
tx_6391,MENA,0.11,135,CN,SA,allowed,fallback
tx_562,APAC,0.84,141,IR,JP,blocked,blocked
tx_34905,APAC,0.88,93,AE,FR,allowed,allowed
tx_47607,APAC,0.59,178,US,US,allowed,allowed
tx_20119,LATAM,0.18,135,US,US,allowed,fallback
tx_13838,APAC,0.4,135,AE,FR,allowed,fallback
tx_37098,EU,0.62,51,AE,MX,allowed,allowed
tx_5637,MENA,0.05,135,US,JP,allowed,fallback
tx_46277,EU,0.43,47,AE,FR,allowed,allowed
tx_6752,US,0.4,135,CN,SA,allowed,fallback
tx_26887,US,0.34,144,US,FR,allowed,fallback
tx_26340,US,0.4,135,BR,SA,allowed,fallback
tx_36612,LATAM,0.06,142,US,FR,allowed,allowed
tx_19951,EU,0.4,135,DE,US,allowed,fallback
tx_10221,US,0.4,135,US,SA,allowed,fallback
tx_12154,MENA,0.42,135,CN,MX,allowed,fallback
tx_43157,EU,0.92,47,AE,MX,allowed,allowed
tx_49022,EU,0.65,144,BR,FR,allowed,allowed
tx_25276,EU,0.4,133,CN,MX,allowed,fallback
tx_48234,MENA,0.54,125,AE,MX,allowed,allowed
tx_32138,US,0.02,135,BR,US,allowed,fallback
tx_13766,EU,0.4,122,DE,JP,allowed,fallback
tx_8644,MENA,0.4,151,BR,SA,allowed,fallback
tx_36639,MENA,0.27,83,DE,JP,allowed,allowed
tx_20333,US,0.4,135,CN,MX,allowed,fallback
tx_48642,MENA,0.66,112,CN,FR,allowed,allowed
tx_25244,MENA,0.02,135,DE,MX,allowed,fallback
tx_15078,APAC,0.4,135,CN,SA,allowed,fallback
tx_16617,US,0.4,121,AE,JP,allowed,fallback
tx_23613,MENA,0.4,135,AE,JP,allowed,fallback
tx_17148,LATAM,0.4,175,CN,JP,allowed,fallback
tx_33457,US,0.18,169,CN,JP,allowed,fallback
tx_26686,LATAM,0.4,135,BR,SA,allowed,fallback
tx_3618,US,0.4,135,BR,SA,allowed,fallback
tx_49224,APAC,0.99,175,AE,JP,allowed,allowed
tx_2690,MENA,0.4,135,AE,FR,allowed,fallback
tx_26380,APAC,0.15,135,DE,US,allowed,fallback
tx_17846,US,0.4,135,AE,MX,allowed,fallback
tx_6623,LATAM,0.2,135,AE,US,allowed,fallback
tx_48210,APAC,0.48,171,BR,MX,allowed,allowed
tx_43703,US,0.9,48,DE,MX,allowed,allowed
tx_7308,MENA,0.4,135,BR,JP,allowed,fallback
tx_26941,LATAM,0.02,145,DE,JP,allowed,fallback
tx_42930,US,0.83,103,BR,FR,allowed,allowed
tx_22864,LATAM,0.4,135,AE,FR,allowed,fallback
tx_12981,EU,0.15,137,US,FR,allowed,fallback
tx_25757,MENA,0.4,135,DE,JP,allowed,fallback
tx_2163,EU,0.4,141,BR,MX,allowed,fallback
tx_15234,EU,0.22,135,BR,FR,allowed,fallback
tx_24643,EU,0.4,135,CN,JP,allowed,fallback
tx_34048,MENA,0.4,146,US,SA,allowed,fallback
tx_41702,MENA,0.72,70,AE,FR,allowed,allowed
